"","site","zone","year.x","season","seq_run","mean.kd","min.kd","max.kd","mean.sst","min.sst","max.sst","mean.chla","min.chla","max.chla","lat","lon","depth_m","dmg"
"824","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"825","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"826","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"829","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"830","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"1080","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1081","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1082","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1083","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1084","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1085","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1089","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
